LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),( ),( ),( ),( ),( /frame),( /frame),( /frame),( /frame),( /frame),(quality),( ),( ),,( /frame),,(rad/frame)
Track_14366,18,18,180,1,0,0,0,1,180.0,0.0,180.0,14.881280101254493,968.1350218623874,1144.675567705622,0.0,4.568036975984983,16.31579386321959,0.071632184400094,3.606748202502366,3.2564728968725354,15247.027777777777,817.9304244463625,35.54784615890311,0.018193821450433606,0.08267377834030273,0.01809831636103957,2.007587149158868
Track_14368,20,20,180,1,0,0,0,1,180.0,0.0,180.0,11.376709672740219,989.5892116811124,970.8449743448942,0.0,6.74825680804082,27.107038082668527,0.27216938347894604,5.9737505551809935,4.214967662823912,35867.805555555555,1208.5905281604269,29.312160333132685,0.009413204396079868,0.06320394262633455,0.009365965822614295,2.0424305252946864
Track_14373,25,25,180,1,0,0,0,1,180.0,0.0,180.0,37.18460905032002,292.43518820162654,472.1033519876052,0.0,5.649274883216853,17.017732077768475,0.44630517481683263,4.708745543664631,3.6252686916313666,28142.005555555555,1014.6978165430511,59.198142887019884,0.036645992968629165,0.2065811613906668,0.03656773048951617,1.8525484068264992
Track_14374,26,26,147,2,0,0,0,2,149.0,0.0,149.0,19.147318924218055,148.36404536929518,931.1415605848151,0.0,3.4152187435722343,14.090042320633314,0.2760602919332308,2.9129341345864654,2.346471618729055,12301.040816326531,510.3399808041186,23.714603369412703,0.037518751507668535,0.12850549613569165,0.037627310513433786,1.792605754761756
Track_14375,27,27,174,5,0,0,0,2,180.0,0.0,180.0,29.840144091010945,374.4089925792381,50.54292700257822,0.0,4.27335295483674,26.88573076378936,0.3028765556880407,3.281586284414485,3.817117671415817,14368.62643678161,753.7764991049988,38.8297563281986,0.039587522463809664,0.16577857828339415,0.0387935609427627,2.0168287112313394
Track_14376,28,28,66,3,0,0,0,1,68.0,0.0,68.0,6.851049552774825,492.37464460419665,41.53181743062571,0.0,5.9413842589484664,17.425131542001495,0.6424492576326426,4.981993307826818,3.9412521092985973,11204.212121212122,396.0085202467306,19.66041573347654,0.017300257955324604,0.10075072871727683,0.016957450372871215,1.9920148309893235
Track_14379,31,31,180,1,0,0,0,1,180.0,0.0,180.0,22.182566688068047,927.1631930607449,768.9542891715568,0.0,5.590779721652853,27.172558038239714,0.1781253991119606,4.433120922571437,4.437445502472026,32847.65555555555,1004.6020805329871,37.88867429378339,0.022080948385353915,0.12323648160037803,0.022042807575316972,1.9558920579435446
Track_14381,33,33,180,1,0,0,0,1,180.0,0.0,180.0,30.73382949350075,817.8733421026092,497.9465418806637,0.0,3.171597479801467,11.735112286045979,0.175268672483132,2.859938144857088,2.113331586985252,21857.355555555554,568.7114700749403,39.66592547213824,0.05404116342061976,0.17074349718611528,0.05383517242446647,1.9324148785857773
Track_14382,34,34,180,1,0,0,0,1,180.0,0.0,180.0,64.39243878505528,467.73711810307304,732.0975806480269,0.0,5.500827029234886,20.732435234649508,0.48637656287825426,4.5823278647599945,3.8610017599941977,18348.422222222223,989.7679989161946,67.83847593509037,0.06505811347261743,0.35773577102808485,0.06503308850230155,1.917066472942503
Track_14384,36,36,76,2,0,0,0,1,77.0,0.0,77.0,23.629924590733044,663.9880320198555,533.3774778532967,0.0,11.456287887830673,28.792604102830293,0.9814384876613839,8.349772133806542,8.35915087297913,18822.802631578947,861.3870352748263,52.097343033446116,0.027432412635736845,0.30688213754198757,0.02678722292479836,2.0215501036715406
